statecode,confirmed,recovered,tested,vaccinated1,vaccinated2,deceased,other
AN,3,5,8936,884,10640,0,0
AP,2873,3590,254532,1223010,1887005,30,0
AR,66,97,4788,3312,23647,0,0
AS,2056,2215,269097,274869,849889,24,0
BR,40,31,1378539,1286708,2144970,0,0
CH,28,20,10726,3680,21641,0,0
CT,205,103,147451,379374,604260,5,0
DL,267,239,395086,160323,269146,0,0
DN,0,2,0,2802,14244,0,0
GA,222,409,19026,8418,46494,6,0
GJ,159,116,328489,335172,1660382,2,0
HP,1537,1154,64352,13244,234011,20,-1
HR,95,87,148110,160777,368141,0,0
JH,137,250,464579,299587,428313,3,0
JK,611,572,254608,33383,414843,3,0
KA,2347,2339,724215,623591,1373861,75,0
KL,53326,48406,506604,109805,792534,3089,0
LA,58,28,2475,525,1532,0,0
LD,0,0,1625,69,796,0,0
MH,8117,15146,773516,1611778,1282938,200,7
ML,256,460,13944,7871,41927,4,0
MN,439,652,12787,7665,71276,10,0
MP,105,74,393209,148817,2034460,1,0
MZ,4098,5685,42841,4302,11262,21,0
NL,130,144,4606,4706,23628,6,13
OR,3046,3230,473919,731837,917236,24,0
PB,192,162,221114,200182,223256,8,0
PY,278,315,21095,8324,20073,0,0
RJ,27,26,95132,271500,864947,0,0
SK,79,76,2847,782,14044,2,6
TG,1189,1121,261086,1072389,961422,9,0
TN,7407,8852,858304,788134,1578082,97,0
TR,87,62,22126,4155,74642,0,0
TT,96071,101753,8431577,15883780,24527530,3727,37
UP,63,58,1140736,2266921,3130828,1,0
UT,75,74,83377,25250,258381,1,12
WB,6453,5953,300114,3809597,1871612,86,0
